iter	RMSE
421	591.6876836
422	591.4806976
423	591.3116771
424	591.1385312
425	591.0694648
426	590.9347008
427	590.7896967
428	590.674199
429	590.5321399
430	590.4474426
431	590.362761
432	590.2191478
433	590.154787
434	590.0038364
435	589.9214824
436	589.8211829
437	589.7243328
438	589.5274117
439	589.4770686
440	589.386646
441	589.3334522
442	589.271757
443	589.2055214
444	589.1046156
445	589.0182645
446	588.9055438
447	588.8430599
448	588.8072013
449	588.7421376
450	588.6516981
451	588.5557906
452	588.4502308
453	588.3822921
454	588.3255261
455	588.2770278
456	588.2086782
457	588.1548332
458	588.1006646
459	588.0291204
460	587.9046278
461	587.817653
462	587.7625445
463	587.6148716
464	587.5437245
465	587.4703266
466	587.3708116
467	587.3112871
468	587.2563018
469	587.081665
470	587.0296569
471	586.9250775
472	586.8161463
473	586.7618923
474	586.7168739
475	586.6570796
476	586.574347
477	586.5471686
478	586.4813836
479	586.3711869
480	586.3042664
481	586.1300352
482	586.0895745
483	586.017236
484	585.9691906
485	585.9066096
486	585.843483
487	585.804011
488	585.7140545
489	585.6339687
490	585.5153173
491	585.4641574
492	585.3645989
493	585.3046417
494	585.227626
495	585.121804
496	585.0819609
497	585.0353296
498	584.9381991
499	584.8890073
500	584.7332849
501	584.6881556
502	584.6493616
503	584.5870711
504	584.545991
505	584.5045134
506	584.4536288
507	584.4232398
508	584.2954222
509	584.2050408
510	584.1483037
511	584.1093669
512	584.0202753
513	583.9915189
514	583.9524903
515	583.9022938
516	583.8599857
517	583.7983452
518	583.6952206
519	583.6451628
520	583.611291
521	583.5195071
522	583.4828189
523	583.4479672
524	583.3552149
525	583.301972
526	583.2576559
527	583.1429918
528	583.1033814
529	583.0738342
530	583.0352964
531	582.9768564
532	582.891914
533	582.8442149
534	582.8210762
535	582.7883413
536	582.7634956
537	582.6945388
538	582.6706394
539	582.6464163
540	582.592162
541	582.5459861
542	582.5187903
543	582.450114
544	582.3635379
545	582.3322513
546	582.2951921
547	582.2330433
548	582.1861629
549	582.1580429
550	582.0753335
551	582.0000575
552	581.9717667
553	581.9401589
554	581.9033355
555	581.8685813
556	581.8249777
557	581.7770543
558	581.7506935
559	581.7087245
560	581.6569932
561	581.6221435
562	581.5618581
563	581.505252
564	581.4558849
565	581.383716
566	581.3146722
567	581.2649644
568	581.2219169
569	581.1608622
570	581.1150087
571	581.0556599
572	581.0012077
573	580.9613267
574	580.9193905
575	580.824027
576	580.7832876
577	580.7549968
578	580.7107616
579	580.6812781
580	580.6384961
581	580.5949672
582	580.5645934
583	580.5410858
584	580.513267
585	580.4809497
586	580.3818033
587	580.3501701
588	580.3179149
589	580.2816312
590	580.2408079
591	580.2056676
592	580.1392391
593	580.0848503
594	580.0244788
595	579.9867016
596	579.9346959
597	579.8904938
598	579.8597862
599	579.8226677
